Name,Date,Priority,Status
Jose,11-09-2021,50,Joined
Marquez,11-09-2021,51,Left List
Binyu,11-09-2021,52,Joined
Keiandra,12-09-2021,1,Registered
Cetan,12-09-2021,2,Registered
Abdul,12-09-2021,3,Registered
Jesse,12-09-2021,4,Dropped Class
Emily,12-09-2021,5,Registered
Tasharra,12-09-2021,6,Dropped Class
Brendon,12-09-2021,7,Dropped Class
Sawhitney,12-09-2021,8,Dropped Class
Shavel,12-09-2021,9,Registered
Rene,12-09-2021,10,Registered
Toni,12-09-2021,11,Registered
Haibaa,12-09-2021,12,Registered
Shabaan,12-09-2021,13,Registered
Labeeb,12-09-2021,14,Registered
Kiah,12-09-2021,15,Registered
Nabeela,12-09-2021,16,Registered
Ambre,12-09-2021,17,Registered
Presilla,12-09-2021,18,Left List
Kia,12-09-2021,19,Left List
Ryan,12-09-2021,20,Registered
Jillian,12-09-2021,21,Joined
Haajid,12-09-2021,22,Left List
Lubaaba,12-09-2021,23,Joined
Micah,12-09-2021,24,Joined
Cheyenne,12-09-2021,25,Joined
Lolita,12-09-2021,26,Left List
Saara,12-09-2021,27,Joined
Hannah,12-09-2021,28,Joined
Sara,12-09-2021,29,Joined
Kelsey,12-09-2021,30,Joined
Aaron,12-09-2021,31,Left List
Adrian,12-09-2021,32,Joined
Cody,12-09-2021,33,Joined
Marisela,12-09-2021,34,Joined
Leyvi,12-09-2021,35,Joined
Samantha,12-09-2021,36,Joined
Santos,12-09-2021,37,Left List
Dakota,12-09-2021,38,Left List
Hanyuan,12-09-2021,39,Joined
Yolanda,12-09-2021,40,Joined
Hanlu,12-09-2021,41,Left List
Cindy,12-09-2021,42,Left List
Levi,12-09-2021,43,Joined
Zachery,12-09-2021,44,Left List
Victoria,12-09-2021,45,Joined
Shiyan,12-09-2021,46,Joined
Laura,12-09-2021,47,Left List
Nusaiba,12-09-2021,48,Joined
Abyad,12-09-2021,49,Joined
Jose,12-09-2021,50,Joined
Marquez,12-09-2021,51,Left List
Binyu,12-09-2021,52,Joined
Keiandra,13-09-2021,1,Registered
Cetan,13-09-2021,2,Registered
Abdul,13-09-2021,3,Registered
Jesse,13-09-2021,4,Dropped Class
Emily,13-09-2021,5,Registered
Tasharra,13-09-2021,6,Dropped Class
Brendon,13-09-2021,7,Dropped Class
Sawhitney,13-09-2021,8,Dropped Class
Shavel,13-09-2021,9,Registered
Rene,13-09-2021,10,Registered
Toni,13-09-2021,11,Registered
Haibaa,13-09-2021,12,Registered
Shabaan,13-09-2021,13,Registered
Labeeb,13-09-2021,14,Registered
Kiah,13-09-2021,15,Registered
Nabeela,13-09-2021,16,Registered
Ambre,13-09-2021,17,Registered
Presilla,13-09-2021,18,Left List
Kia,13-09-2021,19,Left List
Ryan,13-09-2021,20,Registered
Jillian,13-09-2021,21,Joined
Haajid,13-09-2021,22,Left List
Lubaaba,13-09-2021,23,Joined
Micah,13-09-2021,24,Joined
Cheyenne,13-09-2021,25,Joined
Lolita,13-09-2021,26,Left List
Saara,13-09-2021,27,Joined
Hannah,13-09-2021,28,Joined
Sara,13-09-2021,29,Joined
Kelsey,13-09-2021,30,Joined
Aaron,13-09-2021,31,Left List
Adrian,13-09-2021,32,Joined
Cody,13-09-2021,33,Joined
Marisela,13-09-2021,34,Joined
Leyvi,13-09-2021,35,Joined
Samantha,13-09-2021,36,Joined
Santos,13-09-2021,37,Left List
Dakota,13-09-2021,38,Left List
Hanyuan,13-09-2021,39,Joined
Yolanda,13-09-2021,40,Joined
Hanlu,13-09-2021,41,Left List
Cindy,13-09-2021,42,Left List
Levi,13-09-2021,43,Joined
Zachery,13-09-2021,44,Left List
Victoria,13-09-2021,45,Joined
Shiyan,13-09-2021,46,Joined
Laura,13-09-2021,47,Left List
Nusaiba,13-09-2021,48,Joined
Abyad,13-09-2021,49,Joined
Jose,13-09-2021,50,Joined
Marquez,13-09-2021,51,Left List
Binyu,13-09-2021,52,Joined
Alexander,13-09-2021,53,Left List
Emily,14-09-2021,1,Registered
Tasharra,14-09-2021,2,Dropped Class
Brendon,14-09-2021,3,Dropped Class
Sawhitney,14-09-2021,4,Dropped Class
Shavel,14-09-2021,5,Registered
Rene,14-09-2021,6,Registered
Toni,14-09-2021,7,Registered
Haibaa,14-09-2021,8,Registered
Shabaan,14-09-2021,9,Registered
Labeeb,14-09-2021,10,Registered
Kiah,14-09-2021,11,Registered
Nabeela,14-09-2021,12,Registered
Ambre,14-09-2021,13,Registered
Presilla,14-09-2021,14,Left List
Kia,14-09-2021,15,Left List
Ryan,14-09-2021,16,Registered
Jillian,14-09-2021,17,Joined
Haajid,14-09-2021,18,Left List
Lubaaba,14-09-2021,19,Joined
Micah,14-09-2021,20,Joined
Cheyenne,14-09-2021,21,Joined
Lolita,14-09-2021,22,Left List
Saara,14-09-2021,23,Joined
Hannah,14-09-2021,24,Joined
Sara,14-09-2021,25,Joined
Kelsey,14-09-2021,26,Joined
Adrian,14-09-2021,27,Joined
